pid	toefl	gre	undergra_major	undergra_grade	school	degree	major	apply_result
2	103.0	324.0	Spatial information and digital technology	3.93	University of Michigan  Ann Arbor	ms	environmental informatic	ad
2	103.0	324.0	Spatial information and digital technology	3.93	Boston University	ms	remote sensing	ad
2	103.0	324.0	Spatial information and digital technology	3.93	SUNY University at Buffalo	mgis	Geography	ad
2	103.0	324.0	Spatial information and digital technology	3.93	University of Iowa	map	Geography	ad
2	103.0	324.0	Spatial information and digital technology	3.93	Clark University	mgis	Geography	ad
3	100.0	319.0	philosophy	3.6	University of Chicago	ma	MAPH	ad
4	103.0	320.0	Chemistry	3.784	University of Illinois at UrbanaChampaign	ba	Chemistry	ad
5	100.0	325.0	Metal Materials Science and Engineering	3.3	University of Pennsylvania	ms	Materials Engineering	reject
6	107.0	324.0	English literature	3.6	University of Pennsylvania	ma	Teaching English as a Second Language	ad
6	107.0	324.0	English literature	3.6	University of Washington	ma	Public Administration	ad
6	107.0	324.0	English literature	3.6	Cornell University	ma	Public Administration	reject
7	108.0	326.0	City planning	3.9	Columbia University	ms	Urban Community and Regional Planning	ad
7	108.0	326.0	City planning	3.9	University of Pennsylvania	ms	Urban Community and Regional Planning	offer
7	108.0	326.0	City planning	3.9	Boston University	ms	Urban Community and Regional Planning	ad
7	108.0	326.0	City planning	3.9	Cornell University	ms	Urban Community and Regional Planning	ad
7	108.0	326.0	City planning	3.9	University of Illinois at UrbanaChampaign	ms	Urban Community and Regional Planning	ad
7	108.0	326.0	City planning	3.9	University of Southern California	ms	Urban Community and Regional Planning	ad
7	108.0	326.0	City planning	3.9	University of Michigan  Ann Arbor	ms	Urban Community and Regional Planning	ad
7	108.0	326.0	City planning	3.9	Harvard University	ms	Urban Community and Regional Planning	reject
7	108.0	326.0	City planning	3.9	Massachusetts Institute of Technology	ms	Urban Community and Regional Planning	reject
7	108.0	326.0	City planning	3.9	University of California  Los Angeles	ms	Urban Community and Regional Planning	reject
8	106.0	323.0	economic	3.568	Duke University	ms	Economics and Econometrics	ad
8	106.0	323.0	economic	3.568	University of Michigan  Ann Arbor	ms	MAE	ad
8	106.0	323.0	economic	3.568	New York University	ms	Economics and Econometrics	ad
8	106.0	323.0	economic	3.568	London School of Economics and Political Science	ms	Economics and Econometrics	reject
8	106.0	323.0	economic	3.568	London School of Economics and Political Science	ms	Economics	reject
8	106.0	323.0	economic	3.568	University of Chicago	ma	MAPSS	reject
8	106.0	323.0	economic	3.568	University of California  Los Angeles	ms	MAE	ad
9	112.0	325.0	International Politics	3.89	University of Chicago	ms	MAPSS	ad
9	112.0	325.0	International Politics	3.89	Harvard University	ms	east asian studies	reject
9	112.0	325.0	International Politics	3.89	London School of Economics and Political Science	ms	International Relations	ad
9	112.0	325.0	International Politics	3.89	University of California  San Diego	ms	GPS	ad
9	112.0	325.0	International Politics	3.89	Yale University	ms	east asian studies	reject
10	98.0	318.0	Chemistry	3.56	University of Alberta	ms	Chemistry	offer
10	98.0	318.0	Chemistry	3.56	Georgia Institute of Technology	phd	Chemistry	offer
11	110.0	322.0	Basic Medicine	3.2	Yale University	mph	chronic disease epi	ad
11	110.0	322.0	Basic Medicine	3.2	Columbia University	mph	epi in chronic disease	ad
12	108.0	325.0	building	3.4	Virginia Tech	ma	March 2	ad
12	108.0	325.0	building	3.4		ma	March 3	ad
13	114.0	328.0	Economics	3.83	Georgetown University	ms	Data Science for Public Policy	ad
13	114.0	328.0	Economics	3.83	University of Southern California	mpp	Public Policy Analysis	ad
13	114.0	328.0	Economics	3.83	University of Chicago	ms	Computational Analysis and Public Policy	reject
13	114.0	328.0	Economics	3.83	New York University	ms	Data Science for Social Science Research	ad
14	116.0	335.0	literature	3.6	Columbia University	ms	Journalism	ad
15	114.0	331.0	Business	3.6	Boston University	ms	Mass Communication	ad
15	114.0	331.0	Business	3.6	LSE  USC	ms	Global media	ad
15	114.0	331.0	Business	3.6	Georgetown University	ma	CCT	ad
15	114.0	331.0	Business	3.6	New York University	ma	MCC	reject
15	114.0	331.0	Business	3.6	Columbia University	ma	EDUCATION AND COMMUNICATION	ad
15	114.0	331.0	Business	3.6	University of North Carolina at Chapel Hill	ms	Mass Communication	reject
16	96.0	316.0	CS	3.3512	Florida State University	phd	Computer Science	offer
17	110.0	328.0	Chemistry	2.0	New York University	phd	Chemistry	offer
17	110.0	328.0	Chemistry	2.0	University of Maryland  College Park	phd	Chemistry	offer
17	110.0	328.0	Chemistry	2.0	Johns Hopkins University	phd	Chemistry	offer
17	110.0	328.0	Chemistry	2.0	Boston University	phd	Chemistry	offer
17	110.0	328.0	Chemistry	2.0	University of Pennsylvania	phd	Chemistry	offer
17	110.0	328.0	Chemistry	2.0	Northwestern University	phd	Chemistry	reject
17	110.0	328.0	Chemistry	2.0	Columbia University	phd	Chemistry	offer
17	110.0	328.0	Chemistry	2.0	Ohio State University	phd	Chemistry	offer
17	110.0	328.0	Chemistry	2.0	California Institute of Technology	phd	Chemistry	reject
17	110.0	328.0	Chemistry	2.0	Cornell University	phd	Chemistry and Chemical Biology	reject
18	106.0	327.0	Double degree in mathematics and psychology	3.71	Boston College	ma	Mental Health Counseling	ad
19	104.0	329.0	international economy and trading	3.73	University of Texas  Dallas	phd	Economics and Econometrics	offer
20	109.0	332.0	Material physics	3.84	California Institute of Technology	phd	Materials Science	reject
21	105.0	326.0	Financial engineering	3.8	Duke University	ms	MQFE	ad
22	105.0	316.0	German and English	3.96	University of Southern California	ma	Tesol	offer
23	102.0	323.0	Chem	3.88	Texas AM University	phd	Chemistry	offer
23	102.0	323.0	Chem	3.88	Georgia Institute of Technology	phd	Chemistry	offer
23	102.0	323.0	Chem	3.88	University of Illinois at UrbanaChampaign	phd	Chemistry	offer
23	102.0	323.0	Chem	3.88	Boston College	phd	Chemistry	offer
23	102.0	323.0	Chem	3.88	Massachusetts Institute of Technology	phd	Chemistry	reject
23	102.0	323.0	Chem	3.88	Stanford University	phd	Chemistry	reject
23	102.0	323.0	Chem	3.88	California Institute of Technology	phd	Chemistry	reject
23	102.0	323.0	Chem	3.88	Cornell University	phd	Chemistry	reject
24	105.0	308.0	Network and new media	3.9	University of Illinois at UrbanaChampaign	ma	MA in Communication	reject
24	105.0	308.0	Network and new media	3.9	University of WisconsinMadison	ma	MA in Communication Arts	reject
24	105.0	308.0	Network and new media	3.9	Washington University in St Louis	ma	MA in Film and Media Study	reject
25	106.0	320.0	Super small language	3.59	Harvard University	med	human development  psychology	ad
26	102.0	326.0	Communication engineering	3.6148000000000002	University of British Columbia	phd	Electrical and Electronics Engineering	offer
26	102.0	326.0	Communication engineering	3.6148000000000002	Arizona State University	phd	Computer Engineering Technician	offer
26	102.0	326.0	Communication engineering	3.6148000000000002	Georgia Institute of Technology	phd	Electrical and Electronics Engineering	ad
